Datetime;Resolution code;Elia Grid Load
2025-12-31T23:45:00+01:00;PT15M;6855.402
2025-12-31T23:30:00+01:00;PT15M;6908.931
2025-12-31T23:15:00+01:00;PT15M;6975.943
2025-12-31T23:00:00+01:00;PT15M;6983.858
2025-12-31T22:45:00+01:00;PT15M;6861.196
2025-12-31T22:30:00+01:00;PT15M;6946.46
2025-12-31T22:15:00+01:00;PT15M;6955.55
2025-12-31T22:00:00+01:00;PT15M;6903.205
2025-12-31T21:45:00+01:00;PT15M;6864.556
2025-12-31T21:30:00+01:00;PT15M;6959.228
2025-12-31T21:15:00+01:00;PT15M;7133.399
2025-12-31T21:00:00+01:00;PT15M;7282.869
2025-12-31T20:45:00+01:00;PT15M;7410.851
2025-12-31T20:30:00+01:00;PT15M;7498.467
2025-12-31T20:15:00+01:00;PT15M;7604.161
2025-12-31T20:00:00+01:00;PT15M;7711.574
2025-12-31T19:45:00+01:00;PT15M;7877.225
2025-12-31T19:30:00+01:00;PT15M;8015.254
2025-12-31T19:15:00+01:00;PT15M;8130.641
2025-12-31T19:00:00+01:00;PT15M;8179.014
2025-12-31T18:45:00+01:00;PT15M;8277.132
2025-12-31T18:30:00+01:00;PT15M;8351.807
2025-12-31T18:15:00+01:00;PT15M;8433.067
2025-12-31T18:00:00+01:00;PT15M;8584.066
2025-12-31T17:45:00+01:00;PT15M;8687.949
2025-12-31T17:30:00+01:00;PT15M;8713.116
2025-12-31T17:15:00+01:00;PT15M;8739.957
2025-12-31T17:00:00+01:00;PT15M;8782.498
2025-12-31T16:45:00+01:00;PT15M;8806.924
2025-12-31T16:30:00+01:00;PT15M;8693.035
2025-12-31T16:15:00+01:00;PT15M;8653.15
2025-12-31T16:00:00+01:00;PT15M;8665.667
2025-12-31T15:45:00+01:00;PT15M;8630.179
2025-12-31T15:30:00+01:00;PT15M;8592.828
2025-12-31T15:15:00+01:00;PT15M;8522.31
2025-12-31T15:00:00+01:00;PT15M;8457.226
2025-12-31T14:45:00+01:00;PT15M;8333.077
2025-12-31T14:30:00+01:00;PT15M;8227.517
2025-12-31T14:15:00+01:00;PT15M;8194.195
2025-12-31T14:00:00+01:00;PT15M;8250.512
2025-12-31T13:45:00+01:00;PT15M;8221.803
2025-12-31T13:30:00+01:00;PT15M;8330.325
2025-12-31T13:15:00+01:00;PT15M;8257.044
2025-12-31T13:00:00+01:00;PT15M;8271.905
2025-12-31T12:45:00+01:00;PT15M;8332.691
2025-12-31T12:30:00+01:00;PT15M;8260.142
2025-12-31T12:15:00+01:00;PT15M;8280.864
2025-12-31T12:00:00+01:00;PT15M;8269.296
2025-12-31T11:45:00+01:00;PT15M;8271.775
2025-12-31T11:30:00+01:00;PT15M;8157.94
2025-12-31T11:15:00+01:00;PT15M;8184.41
2025-12-31T11:00:00+01:00;PT15M;8312.135
2025-12-31T10:45:00+01:00;PT15M;8401.46
2025-12-31T10:30:00+01:00;PT15M;8476.591
2025-12-31T10:15:00+01:00;PT15M;8577.197
2025-12-31T10:00:00+01:00;PT15M;8661.633
2025-12-31T09:45:00+01:00;PT15M;8717.356
2025-12-31T09:30:00+01:00;PT15M;8813.351
2025-12-31T09:15:00+01:00;PT15M;8854.682
2025-12-31T09:00:00+01:00;PT15M;8868.386
2025-12-31T08:45:00+01:00;PT15M;8779.633
2025-12-31T08:30:00+01:00;PT15M;8721.682
2025-12-31T08:15:00+01:00;PT15M;8597.877
2025-12-31T08:00:00+01:00;PT15M;8438.199
2025-12-31T07:45:00+01:00;PT15M;8227.185
2025-12-31T07:30:00+01:00;PT15M;8097.058
2025-12-31T07:15:00+01:00;PT15M;7929.615
2025-12-31T07:00:00+01:00;PT15M;7783.037
2025-12-31T06:45:00+01:00;PT15M;7692.906
2025-12-31T06:30:00+01:00;PT15M;7563.295
2025-12-31T06:15:00+01:00;PT15M;7464.031
2025-12-31T06:00:00+01:00;PT15M;7393.127
2025-12-31T05:45:00+01:00;PT15M;7104.508
2025-12-31T05:30:00+01:00;PT15M;7050.896
2025-12-31T05:15:00+01:00;PT15M;7024.092
2025-12-31T05:00:00+01:00;PT15M;7021.672
2025-12-31T04:45:00+01:00;PT15M;6973.33
2025-12-31T04:30:00+01:00;PT15M;6898.219
2025-12-31T04:15:00+01:00;PT15M;6814.626
2025-12-31T04:00:00+01:00;PT15M;6834.311
2025-12-31T03:45:00+01:00;PT15M;6860.539
2025-12-31T03:30:00+01:00;PT15M;6900.486
2025-12-31T03:15:00+01:00;PT15M;6970.532
2025-12-31T03:00:00+01:00;PT15M;7010.056
2025-12-31T02:45:00+01:00;PT15M;7052.747
2025-12-31T02:30:00+01:00;PT15M;7108.351
2025-12-31T02:15:00+01:00;PT15M;7161.534
2025-12-31T02:00:00+01:00;PT15M;7192.11
2025-12-31T01:45:00+01:00;PT15M;7250.754
2025-12-31T01:30:00+01:00;PT15M;7383.606
2025-12-31T01:15:00+01:00;PT15M;7480.899
2025-12-31T01:00:00+01:00;PT15M;7557.662
2025-12-31T00:45:00+01:00;PT15M;7663.324
2025-12-31T00:30:00+01:00;PT15M;7768.274
2025-12-31T00:15:00+01:00;PT15M;7858.061
2025-12-31T00:00:00+01:00;PT15M;7960.287
2025-12-30T23:45:00+01:00;PT15M;8054.067
2025-12-30T23:30:00+01:00;PT15M;8113.908
2025-12-30T23:15:00+01:00;PT15M;8208.392
2025-12-30T23:00:00+01:00;PT15M;8281.248
2025-12-30T22:45:00+01:00;PT15M;8252.771
2025-12-30T22:30:00+01:00;PT15M;8318.768
2025-12-30T22:15:00+01:00;PT15M;8340.471
2025-12-30T22:00:00+01:00;PT15M;8159.052
2025-12-30T21:45:00+01:00;PT15M;8065.925
2025-12-30T21:30:00+01:00;PT15M;8116.283
2025-12-30T21:15:00+01:00;PT15M;8193.82
2025-12-30T21:00:00+01:00;PT15M;8229.803
2025-12-30T20:45:00+01:00;PT15M;8306.538
2025-12-30T20:30:00+01:00;PT15M;8424.489
2025-12-30T20:15:00+01:00;PT15M;8508.79
2025-12-30T20:00:00+01:00;PT15M;8661.326
2025-12-30T19:45:00+01:00;PT15M;8735.966
2025-12-30T19:30:00+01:00;PT15M;8786.034
2025-12-30T19:15:00+01:00;PT15M;8844.802
2025-12-30T19:00:00+01:00;PT15M;9021.462
2025-12-30T18:45:00+01:00;PT15M;9232.215
2025-12-30T18:30:00+01:00;PT15M;9202.384
2025-12-30T18:15:00+01:00;PT15M;9206.013
2025-12-30T18:00:00+01:00;PT15M;9199.671
2025-12-30T17:45:00+01:00;PT15M;9267.815
2025-12-30T17:30:00+01:00;PT15M;9231.141
2025-12-30T17:15:00+01:00;PT15M;9158.74
2025-12-30T17:00:00+01:00;PT15M;9043.16
2025-12-30T16:45:00+01:00;PT15M;8874.328
2025-12-30T16:30:00+01:00;PT15M;8599.498
2025-12-30T16:15:00+01:00;PT15M;8368.27
2025-12-30T16:00:00+01:00;PT15M;8225.633
2025-12-30T15:45:00+01:00;PT15M;8021.364
2025-12-30T15:30:00+01:00;PT15M;7730.452
2025-12-30T15:15:00+01:00;PT15M;7474.539
2025-12-30T15:00:00+01:00;PT15M;7284.676
2025-12-30T14:45:00+01:00;PT15M;7079.881
2025-12-30T14:30:00+01:00;PT15M;6825.671
2025-12-30T14:15:00+01:00;PT15M;6651.72
2025-12-30T14:00:00+01:00;PT15M;6497.311
2025-12-30T13:45:00+01:00;PT15M;6232.898
2025-12-30T13:30:00+01:00;PT15M;6196.071
2025-12-30T13:15:00+01:00;PT15M;6204.854
2025-12-30T13:00:00+01:00;PT15M;6176.076
2025-12-30T12:45:00+01:00;PT15M;6099.701
2025-12-30T12:30:00+01:00;PT15M;6071.53
2025-12-30T12:15:00+01:00;PT15M;6142.473
2025-12-30T12:00:00+01:00;PT15M;6307.714
2025-12-30T11:45:00+01:00;PT15M;6418.59
2025-12-30T11:30:00+01:00;PT15M;6445.159
2025-12-30T11:15:00+01:00;PT15M;6499.98
2025-12-30T11:00:00+01:00;PT15M;6646.487
2025-12-30T10:45:00+01:00;PT15M;6968.118
2025-12-30T10:30:00+01:00;PT15M;7124.558
2025-12-30T10:15:00+01:00;PT15M;7362.704
2025-12-30T10:00:00+01:00;PT15M;7683.689
2025-12-30T09:45:00+01:00;PT15M;7924.745
2025-12-30T09:30:00+01:00;PT15M;8088.031
2025-12-30T09:15:00+01:00;PT15M;8132.446
2025-12-30T09:00:00+01:00;PT15M;8244.438
2025-12-30T08:45:00+01:00;PT15M;8210.708
2025-12-30T08:30:00+01:00;PT15M;8195.246
2025-12-30T08:15:00+01:00;PT15M;8045.42
2025-12-30T08:00:00+01:00;PT15M;7725.759
2025-12-30T07:45:00+01:00;PT15M;7713.441
2025-12-30T07:30:00+01:00;PT15M;7492.83
2025-12-30T07:15:00+01:00;PT15M;7254.131
2025-12-30T07:00:00+01:00;PT15M;7075.638
2025-12-30T06:45:00+01:00;PT15M;6943.626
2025-12-30T06:30:00+01:00;PT15M;6948.265
2025-12-30T06:15:00+01:00;PT15M;6710.006
2025-12-30T06:00:00+01:00;PT15M;6665.692
2025-12-30T05:45:00+01:00;PT15M;6471.229
2025-12-30T05:30:00+01:00;PT15M;6368.801
2025-12-30T05:15:00+01:00;PT15M;6155.809
2025-12-30T05:00:00+01:00;PT15M;6049.896
2025-12-30T04:45:00+01:00;PT15M;6069.036
2025-12-30T04:30:00+01:00;PT15M;6031.86
2025-12-30T04:15:00+01:00;PT15M;6021.977
2025-12-30T04:00:00+01:00;PT15M;6027.039
2025-12-30T03:45:00+01:00;PT15M;6002.039
2025-12-30T03:30:00+01:00;PT15M;6017.51
2025-12-30T03:15:00+01:00;PT15M;6116.704
2025-12-30T03:00:00+01:00;PT15M;6147.186
2025-12-30T02:45:00+01:00;PT15M;6173.997
2025-12-30T02:30:00+01:00;PT15M;6215.116
2025-12-30T02:15:00+01:00;PT15M;6289.988
2025-12-30T02:00:00+01:00;PT15M;6382.121
2025-12-30T01:45:00+01:00;PT15M;6475.426
2025-12-30T01:30:00+01:00;PT15M;6567.839
2025-12-30T01:15:00+01:00;PT15M;6679.025
2025-12-30T01:00:00+01:00;PT15M;6752.584
2025-12-30T00:45:00+01:00;PT15M;6833.096
2025-12-30T00:30:00+01:00;PT15M;6954.287
2025-12-30T00:15:00+01:00;PT15M;7020.67
2025-12-30T00:00:00+01:00;PT15M;7260.799
2025-12-29T23:45:00+01:00;PT15M;7435.302
2025-12-29T23:30:00+01:00;PT15M;7548.302
2025-12-29T23:15:00+01:00;PT15M;7608.33
2025-12-29T23:00:00+01:00;PT15M;7692.444
2025-12-29T22:45:00+01:00;PT15M;7763.757
2025-12-29T22:30:00+01:00;PT15M;7864.851
2025-12-29T22:15:00+01:00;PT15M;7961.284
2025-12-29T22:00:00+01:00;PT15M;8038.104
2025-12-29T21:45:00+01:00;PT15M;8083.539
2025-12-29T21:30:00+01:00;PT15M;8130.897
2025-12-29T21:15:00+01:00;PT15M;8162.215
2025-12-29T21:00:00+01:00;PT15M;8255.798
2025-12-29T20:45:00+01:00;PT15M;8494.458
2025-12-29T20:30:00+01:00;PT15M;8658.592
2025-12-29T20:15:00+01:00;PT15M;8750.916
2025-12-29T20:00:00+01:00;PT15M;8890.801
2025-12-29T19:45:00+01:00;PT15M;9168.639
2025-12-29T19:30:00+01:00;PT15M;9289.833
2025-12-29T19:15:00+01:00;PT15M;9427.099
2025-12-29T19:00:00+01:00;PT15M;9556.312
2025-12-29T18:45:00+01:00;PT15M;9694.14
2025-12-29T18:30:00+01:00;PT15M;9777.946
2025-12-29T18:15:00+01:00;PT15M;9845.043
2025-12-29T18:00:00+01:00;PT15M;9967.002
2025-12-29T17:45:00+01:00;PT15M;10002.663
2025-12-29T17:30:00+01:00;PT15M;9952.616
2025-12-29T17:15:00+01:00;PT15M;9888.61
2025-12-29T17:00:00+01:00;PT15M;9843.376
2025-12-29T16:45:00+01:00;PT15M;9702.257
2025-12-29T16:30:00+01:00;PT15M;9476.925
2025-12-29T16:15:00+01:00;PT15M;9405.528
2025-12-29T16:00:00+01:00;PT15M;9326.41
2025-12-29T15:45:00+01:00;PT15M;9188.619
2025-12-29T15:30:00+01:00;PT15M;9194.916
2025-12-29T15:15:00+01:00;PT15M;9155.575
2025-12-29T15:00:00+01:00;PT15M;9175.822
2025-12-29T14:45:00+01:00;PT15M;9112.811
2025-12-29T14:30:00+01:00;PT15M;9107.498
2025-12-29T14:15:00+01:00;PT15M;9107.311
2025-12-29T14:00:00+01:00;PT15M;9136.038
2025-12-29T13:45:00+01:00;PT15M;9182.275
2025-12-29T13:30:00+01:00;PT15M;9170.378
2025-12-29T13:15:00+01:00;PT15M;9108.163
2025-12-29T13:00:00+01:00;PT15M;9152.893
2025-12-29T12:45:00+01:00;PT15M;9115.541
2025-12-29T12:30:00+01:00;PT15M;9085.098
2025-12-29T12:15:00+01:00;PT15M;9091.826
2025-12-29T12:00:00+01:00;PT15M;9186.061
2025-12-29T11:45:00+01:00;PT15M;9287.698
2025-12-29T11:30:00+01:00;PT15M;9252.336
2025-12-29T11:15:00+01:00;PT15M;9207.374
2025-12-29T11:00:00+01:00;PT15M;9200.905
2025-12-29T10:45:00+01:00;PT15M;9321.788
2025-12-29T10:30:00+01:00;PT15M;9208.955
2025-12-29T10:15:00+01:00;PT15M;9112.531
2025-12-29T10:00:00+01:00;PT15M;9216.199
2025-12-29T09:45:00+01:00;PT15M;9183.292
2025-12-29T09:30:00+01:00;PT15M;9167.89
2025-12-29T09:15:00+01:00;PT15M;9166.907
2025-12-29T09:00:00+01:00;PT15M;8973.428
2025-12-29T08:45:00+01:00;PT15M;8897.826
2025-12-29T08:30:00+01:00;PT15M;8786.373
2025-12-29T08:15:00+01:00;PT15M;8627.365
2025-12-29T08:00:00+01:00;PT15M;8517.527
2025-12-29T07:45:00+01:00;PT15M;8302.188
2025-12-29T07:30:00+01:00;PT15M;8208.067
2025-12-29T07:15:00+01:00;PT15M;8054.823
2025-12-29T07:00:00+01:00;PT15M;7978.081
2025-12-29T06:45:00+01:00;PT15M;7891.538
2025-12-29T06:30:00+01:00;PT15M;7743.967
2025-12-29T06:15:00+01:00;PT15M;7602.359
2025-12-29T06:00:00+01:00;PT15M;7431.488
2025-12-29T05:45:00+01:00;PT15M;7009.727
2025-12-29T05:30:00+01:00;PT15M;6878.315
2025-12-29T05:15:00+01:00;PT15M;6758.205
2025-12-29T05:00:00+01:00;PT15M;6605.515
2025-12-29T04:45:00+01:00;PT15M;6615.328
2025-12-29T04:30:00+01:00;PT15M;6512.138
2025-12-29T04:15:00+01:00;PT15M;6456.265
2025-12-29T04:00:00+01:00;PT15M;6418.745
2025-12-29T03:45:00+01:00;PT15M;6460.357
2025-12-29T03:30:00+01:00;PT15M;6475.213
2025-12-29T03:15:00+01:00;PT15M;6478.931
2025-12-29T03:00:00+01:00;PT15M;6462.384
2025-12-29T02:45:00+01:00;PT15M;6417.114
2025-12-29T02:30:00+01:00;PT15M;6462.436
2025-12-29T02:15:00+01:00;PT15M;6499.589
2025-12-29T02:00:00+01:00;PT15M;6515.326
2025-12-29T01:45:00+01:00;PT15M;6565.118
2025-12-29T01:30:00+01:00;PT15M;6624.552
2025-12-29T01:15:00+01:00;PT15M;6730.929
2025-12-29T01:00:00+01:00;PT15M;6859.871
2025-12-29T00:45:00+01:00;PT15M;6971.068
2025-12-29T00:30:00+01:00;PT15M;7063.757
2025-12-29T00:15:00+01:00;PT15M;7134.001
2025-12-29T00:00:00+01:00;PT15M;7196.702
2025-12-28T23:45:00+01:00;PT15M;7410.854
2025-12-28T23:30:00+01:00;PT15M;7503.317
